Kurt,Suzuki,Minnesota Twins,C
Chris,Herrmann,Minnesota Twins,C
Joe,Mauer,Minnesota Twins,1B
Kennys,Vargas,Minnesota Twins,1B
Brian,Dozier,Minnesota Twins,2B
Eduardo,Escobar,Minnesota Twins,Util
Eduardo,Nunez,Minnesota Twins,3B/SS
Danny,Santana,Minnesota Twins,SS
Eddie,Rosario,Minnesota Twins,LF
Jordan,Schafer,Minnesota Twins,CF
Shane,Robinson,Minnesota Twins,CF
Torii,Hunter,Minnesota Twins,RF
Phil,Hughes,Minnesota Twins,SP
Ricky,Nolasco,Minnesota Twins,SP
Kyle,Gibson,Minnesota Twins,SP
Mike,Pelfrey,Minnesota Twins,SP
Trevor,May,Minnesota Twins,SP
Aaron,Thompson,Minnesota Twins,RP
Casey,Fien,Minnesota Twins,RP
J.R.,Graham,Minnesota Twins,RP
Brian,Duensing,Minnesota Twins,RP
Blaine,Boyer,Minnesota Twins,RP
Glen,Perkins,Minnesota Twins,CP
